1.0.0.0|0|171|192.168.9.4|11541|EDONKEY|12426
1.2.1.63|858320|524160|100.0.10.44|49883|HTTP|80
1.2.103.20|858320|524160|100.0.10.58|51463|HTTP|80
1.2.106.146|858320|524160|100.0.10.45|30588|HTTP|80
1.2.108.10|858320|524160|192.168.4.5|53611|HTTP|80
1.2.109.92|1135564|7924|100.0.10.35|53758|HTTP|80
1.2.11.226|858320|524160|100.0.10.16|6452|HTTP|80
1.2.11.93|858320|524160|100.0.10.32|45129|HTTP|80
1.2.112.20|858320|524160|100.0.10.69|52448|HTTP|80
1.2.114.228|858320|524160|100.0.10.78|53107|HTTP|80
1.2.114.51|858320|524160|100.0.10.92|52699|HTTP|80
1.2.118.38|1135564|7924|100.0.10.37|52702|HTTP|80
1.2.121.129|858320|524160|100.0.10.7|1419|HTTP|80
1.2.123.111|858320|524160|100.0.10.3|49439|HTTP|80
1.2.124.218|1135564|7924|100.0.10.92|46639|HTTP|80
1.2.125.248|429160|262080|100.0.10.21|47090|HTTP|80
1.2.125.248|858320|524160|100.0.10.21|47090|HTTP|80
1.2.125.252|1135564|7924|100.0.10.15|47082|HTTP|80
1.2.126.233|858320|524160|100.0.10.37|49544|HTTP|80
1.2.126.54|858320|524160|100.0.10.54|3495|HTTP|80
1.2.127.154|858320|524160|100.0.10.60|3444|HTTP|80
1.2.128.250|858320|524160|100.0.10.1|17182|HTTP|80
1.2.129.2|858320|524160|100.0.10.14|36396|HTTP|80
1.2.129.32|858320|524160|100.0.10.101|17472|HTTP|80
1.2.132.222|246360|18800|192.168.4.9|34345|HTTP|80
1.2.135.116|858320|524160|100.0.10.107|36374|HTTP|80
1.2.136.0|858320|524160|100.0.10.19|17197|HTTP|80
1.2.137.125|858320|524160|100.0.10.39|63253|HTTP|80
1.2.137.14|858320|524160|100.0.10.42|1397|HTTP|80
1.2.140.124|858320|524160|100.0.10.30|64353|HTTP|80
1.2.140.242|1135564|7924|100.0.10.44|62566|HTTP|80
1.2.141.88|858320|524160|100.0.10.43|64435|HTTP|80
1.2.143.104|858320|524160|100.0.10.5|63088|HTTP|80
1.2.144.152|858320|524160|100.0.10.15|40802|HTTP|80
1.2.145.187|858320|524160|100.0.10.91|13219|HTTP|80
1.2.146.132|858320|524160|100.0.10.21|14318|HTTP|80
1.2.147.165|1135564|7924|100.0.10.14|40462|HTTP|80
1.2.147.49|858320|524160|100.0.10.16|35276|HTTP|80
1.2.148.175|530508|60208|192.168.4.17|40172|HTTP|80
1.2.148.235|1135564|7924|100.0.10.49|41839|HTTP|80
1.2.149.6|429160|262080|100.0.10.35|12201|HTTP|80
1.2.149.6|858320|524160|100.0.10.35|12201|HTTP|80
1.2.152.0|858320|524160|100.0.10.15|40471|HTTP|80
1.2.154.5|858320|524160|100.0.10.36|34531|HTTP|80
1.2.16.242|858320|524160|100.0.10.73|46049|HTTP|80
1.2.162.26|429160|262080|100.0.10.99|39725|HTTP|80
1.2.162.26|858320|524160|100.0.10.99|39725|HTTP|80
1.2.162.81|858320|524160|100.0.10.56|8811|HTTP|80
1.2.163.140|429160|262080|100.0.10.72|9533|HTTP|80
1.2.163.140|858320|524160|100.0.10.72|9533|HTTP|80
1.2.164.51|858320|524160|100.0.10.54|45445|HTTP|80
1.2.165.239|858320|524160|100.0.10.18|44179|HTTP|80
1.2.166.0|858320|524160|100.0.10.11|44097|HTTP|80
1.2.169.229|858320|524160|100.0.10.77|11019|HTTP|80
1.2.170.11|858320|524160|100.0.10.55|11359|HTTP|80
1.2.171.221|858320|524160|100.0.10.27|41226|HTTP|80
